City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Qiongshan,CN,2022-02-06 00:20:42,20.0058,110.3542,64.38,88,75,8.95
259,Vitim,RU,2022-02-06 00:20:43,59.4511,112.5578,9.16,96,100,5.39
260,Shambu,ET,2022-02-06 00:20:44,9.5667,37.1,50.2,54,68,0.47
261,Gloggnitz,AT,2022-02-06 00:20:45,47.6749,15.9389,35.87,81,61,4.52
262,Nyurba,RU,2022-02-06 00:20:45,63.2842,118.3319,-24.14,100,90,2.19
263,Jalu,LY,2022-02-06 00:20:46,29.0331,21.5482,54.97,49,0,5.28
264,Port-Cartier,CA,2022-02-06 00:20:47,50.0334,-66.8654,1.74,83,27,8.99
265,Manavalakurichi,IN,2022-02-06 00:20:47,8.1333,77.3,78.89,85,71,10.69
266,Horsham,GB,2022-02-06 00:20:48,51.064,-0.3272,51.31,79,40,18.41
267,Sterling,US,2022-02-06 00:20:49,39.0062,-77.4286,30.33,54,0,1.01
268,Lebu,CL,2022-02-06 00:17:06,-37.6167,-73.65,59.47,80,0,19.37
269,Praia Da Vitoria,PT,2022-02-06 00:20:52,38.7333,-27.0667,57.76,94,75,16.15
270,Adrar,MR,2022-02-06 00:20:53,20.5022,-10.0711,65.55,7,0,8.9
271,Craig,US,2022-02-06 00:20:54,40.5153,-107.5464,34.56,58,0,3.44
272,Porto Belo,BR,2022-02-06 00:20:54,-27.1578,-48.5531,78.26,90,78,6.82
273,Nikolskoye,RU,2022-02-06 00:21:56,59.7035,30.7861,26.87,96,100,6.6
274,Dapaong,TG,2022-02-06 00:21:56,10.8639,0.205,73.31,15,1,6.44
275,Kandalaksha,RU,2022-02-06 00:21:57,67.162,32.4123,18.32,95,100,9.22
276,Pochutla,MX,2022-02-06 00:21:59,15.7432,-96.4661,84.02,50,13,5.88
277,Jaguey Grande,CU,2022-02-06 00:21:43,22.5269,-81.1286,72.25,56,20,10.92
278,Isangel,VU,2022-02-06 00:22:01,-19.55,169.2667,82.33,85,87,15.3
279,Grants Pass,US,2022-02-06 00:22:02,42.439,-123.3284,59.81,50,0,1.01
280,Aswan,EG,2022-02-06 00:22:03,24.0934,32.907,51.24,51,0,11.63
281,Bull Savanna,JM,2022-02-06 00:22:03,17.8868,-77.5902,72.43,69,32,1.99
282,Thinadhoo,MV,2022-02-06 00:21:31,0.5333,72.9333,81.63,71,21,7.02
283,Evensk,RU,2022-02-06 00:22:05,61.95,159.2333,16.88,45,26,23.13
284,Lasa,IT,2022-02-06 00:22:06,46.6166,10.7002,36.86,43,3,3.04
285,Edgewater,US,2022-02-06 00:22:07,28.9889,-80.9023,59.09,94,75,11.5
286,Mahebourg,MU,2022-02-06 00:18:27,-20.4081,57.7,79.25,89,40,11.5
287,Lowestoft,GB,2022-02-06 00:22:09,52.4752,1.7516,50.25,83,100,29.3
288,Charters Towers,AU,2022-02-06 00:22:10,-20.1,146.2667,80.94,50,2,12.75
289,Kidal,ML,2022-02-06 00:17:29,18.4411,1.4078,61.97,15,0,9.86
290,Cocorit,MX,2022-02-06 00:22:11,27.5833,-109.9667,71.94,25,0,12.88
291,Tautira,PF,2022-02-06 00:21:01,-17.7333,-149.15,86.02,74,34,19.98
292,Bela,IN,2022-02-06 00:22:12,25.9333,81.9833,47.75,89,0,3.71
293,Orange Walk,BZ,2022-02-06 00:22:14,17.8333,-88.8333,76.86,94,52,3.27
294,Manacapuru,BR,2022-02-06 00:22:15,-3.2997,-60.6206,79.38,91,67,2.19
