City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Buritis,BR,-15.6178,-46.4233,70.03,91,100,1.05,light rain
143,Ulladulla,AU,-35.35,150.4667,63.88,85,78,5.88,broken clouds
144,Springbok,ZA,-29.6643,17.8865,88.68,23,63,14.36,broken clouds
145,Kautokeino,NO,69.0125,23.0412,0.63,100,57,5.08,broken clouds
146,Prince Rupert,CA,54.3161,-130.3201,42.89,87,100,13.8,light rain
147,Taoudenni,ML,22.6783,-3.9836,82.35,7,0,10.42,clear sky
148,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,85.46,57,51,9.01,broken clouds
149,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,58,40,14.97,scattered clouds
150,Wajir,KE,1.7471,40.0573,98.56,25,20,3.44,few clouds
151,Cairns,AU,-16.9167,145.7667,76.95,81,100,9.22,overcast clouds
152,Issa,RU,53.8705,44.8578,25.21,93,98,7.52,overcast clouds
153,Bekovo,RU,52.4663,43.712,28.69,89,100,9.98,overcast clouds
154,Genhe,CN,50.7833,121.5167,-12.03,100,96,1.79,overcast clouds
155,Galveston,US,29.3669,-94.9669,48.15,89,100,8.79,overcast clouds
156,Mackenzie,CA,55.2999,-123.1698,35.82,80,75,14.97,broken clouds
157,Oistins,BB,13.0667,-59.5333,82.49,69,40,20.71,scattered clouds
158,Saldanha,ZA,-33.0117,17.9442,68.49,79,79,14.92,broken clouds
159,Hofn,IS,64.2539,-15.2082,33.82,80,75,26.46,light snow
160,Katsuura,JP,35.1333,140.3,42.91,44,41,2.95,scattered clouds
161,Vila Velha,BR,-20.3297,-40.2925,84.15,77,40,11.5,scattered clouds
162,Dawlatabad,AF,36.4141,64.9053,48.0,64,100,4.74,overcast clouds
163,Lorengau,PG,-2.0226,147.2712,81.45,80,100,5.41,overcast clouds
164,Chokurdakh,RU,70.6333,147.9167,-44.68,100,94,4.47,overcast clouds
165,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,20,16.11,mist
166,Tamandare,BR,-8.7597,-35.1047,85.59,56,75,8.57,broken clouds
167,Galle,LK,6.0367,80.217,79.16,76,100,6.15,overcast clouds
168,Hirara,JP,24.8,125.2833,70.3,75,89,23.58,overcast clouds
169,Daru,PG,-9.0763,143.2092,80.8,82,100,6.62,overcast clouds
170,Souillac,MU,-20.5167,57.5167,82.78,74,75,11.5,broken clouds
171,Yola,NG,9.2,12.4833,94.82,20,33,5.75,scattered clouds
172,Talavera De La Reina,ES,39.9635,-4.8308,58.6,30,0,6.15,clear sky
173,Tessalit,ML,20.1986,1.0114,80.71,6,0,4.41,clear sky
174,Piacabucu,BR,-10.4056,-36.4344,87.42,56,3,10.74,clear sky
175,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,67,69,11.56,broken clouds
176,Igarka,RU,67.4667,86.5833,-32.22,100,42,3.56,scattered clouds
177,Georgetown,MY,5.4112,100.3354,80.53,90,20,3.44,few clouds
178,Ishigaki,JP,24.3448,124.1572,70.9,77,99,20.15,overcast clouds
179,Bluff,NZ,-46.6,168.3333,47.8,84,7,7.76,clear sky
180,Olafsvik,IS,64.8945,-23.7142,32.41,63,100,33.04,light snow
181,Qianjiang,CN,30.4151,112.8859,31.98,91,64,5.7,broken clouds
182,Camacupa,AO,-12.0167,17.4833,65.34,73,100,4.72,overcast clouds
183,Sao Filipe,CV,14.8961,-24.4956,74.5,67,2,6.38,clear sky
184,Tilichiki,RU,60.4667,166.1,-13.29,86,8,8.72,clear sky
185,Onokhoy,RU,51.932,108.0747,8.35,93,100,1.43,overcast clouds
186,Ahipara,NZ,-35.1667,173.1667,72.77,98,100,5.77,overcast clouds
187,Ust-Kulom,RU,61.6864,53.6902,16.32,90,100,6.51,overcast clouds
188,Castro,BR,-24.7911,-50.0119,73.89,64,37,1.48,scattered clouds
189,Thompson,CA,55.7435,-97.8558,3.36,85,100,8.05,overcast clouds
190,Saint-Philippe,RE,-21.3585,55.7679,81.99,86,100,13.82,light rain
191,Berlevag,NO,70.8578,29.0864,23.0,74,0,24.16,clear sky
192,Nome,US,64.5011,-165.4064,-9.33,54,0,11.5,clear sky
193,Bengkulu,ID,-3.8004,102.2655,77.13,85,32,8.41,scattered clouds
194,Farah,AF,32.5,62.5,50.45,32,0,3.22,clear sky
195,Westport,US,41.1415,-73.3579,36.32,93,100,6.91,mist
196,Haines Junction,CA,60.7522,-137.5108,13.32,98,100,3.76,overcast clouds
197,Ketchikan,US,55.3422,-131.6461,43.27,87,100,5.75,overcast clouds
198,Qui Nhon,VN,13.7667,109.2333,74.12,90,7,2.21,clear sky
199,Bambous Virieux,MU,-20.3428,57.7575,82.65,74,75,11.5,broken clouds
200,Meulaboh,ID,4.1363,96.1285,76.69,84,100,6.26,overcast clouds
201,Otane,NZ,-39.8833,176.6333,65.01,99,100,2.68,overcast clouds
202,Ballina,AU,-28.8667,153.5667,66.16,86,75,9.22,broken clouds
203,Chuy,UY,-33.6971,-53.4616,70.27,68,76,15.35,broken clouds
204,Christchurch,NZ,-43.5333,172.6333,59.95,78,100,2.3,overcast clouds
205,Beringovskiy,RU,63.05,179.3167,-18.63,96,24,11.03,few clouds
206,Kargasok,RU,59.0556,80.8572,-3.66,100,34,5.86,scattered clouds
207,Tazovskiy,RU,67.4667,78.7,-17.86,100,95,6.67,overcast clouds
208,Kodiak,US,57.79,-152.4072,26.11,68,0,5.75,clear sky
209,Cayhagan,PH,9.6697,122.4256,78.8,79,62,10.22,broken clouds
210,Znamenskoye,RU,57.1281,73.8282,11.08,89,33,8.57,scattered clouds
211,Najran,SA,17.4924,44.1277,66.85,22,5,16.42,clear sky
212,Tura,IN,25.5198,90.2201,53.64,77,3,2.75,clear sky
213,Marzuq,YE,14.4,46.4667,76.17,27,8,5.37,clear sky
214,Luderitz,NA,-26.6481,15.1594,77.7,62,4,7.87,clear sky
215,East London,ZA,-33.0153,27.9116,83.34,69,0,12.66,clear sky
216,Klaksvik,FO,62.2266,-6.589,43.72,77,100,35.68,overcast clouds
217,Sri Aman,MY,1.2376,111.4621,78.85,94,94,0.0,overcast clouds
218,Celestun,MX,20.8667,-90.4,72.37,80,3,5.86,clear sky
219,Kavaratti,IN,10.5669,72.642,78.73,69,13,11.23,few clouds
220,Havre-Saint-Pierre,CA,50.2334,-63.5986,14.59,78,100,14.97,overcast clouds
221,Bilibino,RU,68.0546,166.4372,-16.24,76,11,4.7,few clouds
222,Talcahuano,CL,-36.7167,-73.1167,60.48,82,100,9.22,overcast clouds
223,Nancha,CN,47.1333,129.2667,-1.66,99,93,2.57,overcast clouds
224,Half Moon Bay,US,37.4636,-122.4286,55.51,93,100,6.91,mist
225,Bad Hersfeld,DE,50.8667,9.7,45.81,75,7,13.78,clear sky
226,Harper,LR,4.375,-7.7169,84.13,67,99,7.58,light rain
227,Fortuna,US,40.5982,-124.1573,42.66,97,100,0.0,overcast clouds
228,Muisne,EC,0.6,-80.0333,75.31,89,99,2.13,light rain
229,Lasa,IT,46.6166,10.7002,44.62,79,99,12.17,overcast clouds
230,Saint-Francois,FR,46.4154,3.9054,51.67,51,0,9.22,clear sky
231,Yulara,AU,-25.2406,130.9889,78.64,44,100,5.75,overcast clouds
232,Ust-Kan,RU,50.9276,84.761,2.44,85,29,3.94,scattered clouds
233,Palu,ID,-0.8917,119.8707,76.62,87,100,1.86,overcast clouds
234,Fort Myers Beach,US,26.452,-81.9481,64.0,93,1,4.23,clear sky
235,Mus,TR,39.0,41.75,12.24,92,6,1.97,clear sky
236,Port Maria,JM,18.3685,-76.8895,80.56,80,71,10.98,moderate rain
237,Kruisfontein,ZA,-34.0033,24.7314,81.88,28,8,9.53,clear sky
238,Lakes Entrance,AU,-37.8811,147.981,56.16,89,3,9.4,clear sky
239,Atambua,ID,-9.1061,124.8925,76.3,82,100,1.88,overcast clouds
240,Konosha,RU,60.9736,40.257,13.01,95,99,6.17,overcast clouds
241,Diphu,IN,25.8333,93.4333,56.84,74,38,0.96,scattered clouds
