City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
280,Road Town,VG,80.64,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
281,Ugoofaaru,MV,80.8,scattered clouds,5.6667,73.0,Ungoofaaru Inn
283,Laborie,LC,82.0,scattered clouds,13.75,-60.9833,Cedar Palm Villa
285,Cidreira,BR,73.83,clear sky,-30.1811,-50.2056,Hotel Castelo
287,Luena,AO,70.54,light rain,-11.7833,19.9167,Hotel Kandamba
295,Sorong,ID,79.81,light rain,-0.8833,131.25,Waigo Splash Hotel
297,Constitucion,CL,67.42,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
298,Kanpur,IN,60.67,clear sky,26.4667,80.35,Little Chef Hotel
299,Urucara,BR,76.26,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
301,Palembang,ID,80.69,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
302,Cordoba,AR,70.65,clear sky,-31.4135,-64.1811,Hotel Sussex
304,Bouna,CI,96.94,overcast clouds,9.2667,-3.0,Hôtel lababa
306,Payo,ID,73.4,overcast clouds,-3.7508,103.6372,Mess keban agung
308,Axim,GH,83.14,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
310,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
313,Kikwit,CD,87.28,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
314,Moussoro,TD,87.21,broken clouds,13.6408,16.4901,Hôtel Salama
316,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
320,Odweyne,SO,80.08,broken clouds,9.4092,45.064,Eng Hiirey House
322,Sakakah,SA,63.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
323,Lufilufi,WS,74.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
324,Nouadhibou,MR,73.38,broken clouds,20.931,-17.0347,El Medina
327,Kaoma,ZM,69.96,broken clouds,-14.7833,24.8,KAOMA AIRPORT
331,Kavieng,PG,81.57,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
332,Kudahuvadhoo,MV,81.7,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
333,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
334,Cravo Norte,CO,89.98,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
336,Torata,PE,66.36,few clouds,-17.0769,-70.8433,Lodging Sra. Tina Vera
339,Port-Gentil,GA,87.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
350,Kupang,ID,79.56,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
351,Begoro,GH,92.01,overcast clouds,6.3871,-0.3774,Sweet Memories Hotel
352,Plettenberg Bay,ZA,73.87,broken clouds,-34.0527,23.3716,Thanda Vista B&B
353,Nishihara,JP,68.05,broken clouds,26.1842,127.7558,Minshuku Agaihama
356,Grand Gaube,MU,82.8,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
360,Asbe Teferi,ET,69.73,broken clouds,9.0833,40.8667,Megenagna hotel
361,Bambanglipuro,ID,65.61,overcast clouds,-7.95,110.2833,Puri Brata
362,Humaita,BR,73.78,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
365,Riyadh,SA,66.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
368,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
371,Iracoubo,GF,81.14,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
372,Maldonado,UY,67.39,broken clouds,-34.6667,-54.9167,La Cimarrona
373,Kulhudhuffushi,MV,80.31,broken clouds,6.6221,73.07,Haajy Guest House 1
378,Prosperidad,PH,68.52,scattered clouds,10.5161,123.3064,Nabatang Peak Mountain Resort
379,Coquimbo,CL,62.33,overcast clouds,-29.9533,-71.3436,Hostel Del Puerto
382,Beruwala,LK,80.65,overcast clouds,6.4788,79.9828,The Palms Hotel
385,Corinto,GR,64.76,clear sky,37.9407,22.9573,Ephira Hotel
387,Ramgarh,IN,68.05,clear sky,23.6333,85.5167,HOTEL TREAT RESIDENCY
388,Itaporanga,BR,93.92,broken clouds,-7.3044,-38.1503,Hotel Rainha do Vale
393,Umtata,ZA,84.76,light rain,-31.5889,28.7844,LLZZ Boutique Lodge
396,Casablanca,MA,79.02,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
399,Amahai,ID,79.16,broken clouds,-3.3333,128.9167,HOTEL ISABELA
403,Nguruka,TZ,74.8,light rain,-5.1092,31.0419,RUSULI LODGE
405,Inhambane,MZ,87.78,scattered clouds,-23.865,35.3833,Oceano
406,Mersing,MY,73.31,heavy intensity rain,2.4312,103.8405,Timotel Hotel
407,Whitianga,NZ,70.54,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
409,Mayumba,GA,81.34,light rain,-3.432,10.6554,LIKWALE LODGE
410,Karonga,MW,76.57,light rain,-9.9333,33.9333,Sumuka Inn
414,Arang,IN,73.72,few clouds,21.2,81.9667,Hotel Kunwar Shree
415,Njombe,TZ,60.82,light rain,-9.3333,34.7667,Hillside Hotel
416,Codrington,AU,63.91,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
417,Jacmel,HT,78.64,clear sky,18.2342,-72.5347,Historic Hotel Florita
419,Santa Isabel Do Rio Negro,BR,81.5,overcast clouds,-0.4139,-65.0192,Hotel GSA
421,Batemans Bay,AU,65.1,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
422,Berberati,CF,98.04,clear sky,4.2612,15.7922,MAIRIE DE BERBERATI
423,Caravelas,BR,86.32,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
425,Hobyo,SO,77.95,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
426,Nikki,BJ,95.74,scattered clouds,9.9401,3.2108,Hotel John
427,Acarau,BR,85.44,overcast clouds,-2.8856,-40.12,castelo pizzaria
429,Tocopilla,CL,73.6,few clouds,-22.092,-70.1979,Hotel Galvarino
430,Richards Bay,ZA,78.67,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
433,Sinnamary,GF,81.95,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
434,Bandarbeyla,SO,76.23,broken clouds,9.4942,50.8122,JABIR HOTEL
436,Touba,CI,94.3,overcast clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
439,Samana,DO,75.42,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
440,Warrnambool,AU,64.81,clear sky,-38.3833,142.4833,Lady Bay Resort
443,Marsh Harbour,BS,74.5,clear sky,26.5412,-77.0636,Abaco Beach Resort
445,Pisco,PE,68.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
448,Valera,VE,82.13,broken clouds,9.3178,-70.6036,Hotel Camino Real
449,Malakal,SS,88.54,clear sky,9.5334,31.6605,Nile Palace Hotel
452,Guaruja,BR,78.4,mist,-23.9931,-46.2564,Charme Hotel Guarujá
453,Honiara,SB,78.82,moderate rain,-9.4333,159.95,Heritage Park Hotel
